date,weekday,korean_category,chinese_category,japanese_category,western_category,korean_sales,chinese_sales,japanese_sales,western_sales,total_sales,temperature,is_exam,is_festival,is_vacation
2022-01-27,3,제육볶음,마파두부덮밥,규동,오믈라이스,107,74,103,87,371,1.596927556660046,0,0,1
2022-01-28,4,설렁탕,짬뽕,우동,까르보나라,61,61,64,53,239,1.096332193092235,0,0,1
2022-01-29,5,김치찌개,짬뽕,냉모밀,치킨까스,0,0,0,0,0,1.2381978347879652,0,0,1
2022-01-30,6,불고기,짜장면,가츠동,스테이크,0,0,0,0,0,1.2924630090236482,0,0,1
2022-01-31,0,설렁탕,마파두부덮밥,우동,치킨까스,65,47,68,62,242,6.424942802611383,0,0,1
2022-02-01,1,제육볶음,고추잡채덮밥,우동,스테이크,53,35,63,56,207,-1.219245049153847,0,0,1
2022-02-02,2,불고기,마파두부덮밥,냉모밀,오믈라이스,106,77,57,89,329,-1.536728187214612,0,0,1
2022-02-03,3,순대국밥,짜장면,가츠동,까르보나라,78,70,60,55,263,-2.441318184743633,0,0,1
2022-02-04,4,김치찌개,짬뽕,냉모밀,오믈라이스,54,52,27,43,176,1.8479382677264868,0,0,1
2022-02-05,5,감자탕,짬뽕,규동,치킨까스,0,0,0,0,0,3.386916878162675,0,0,1
2022-02-06,6,설렁탕,짬뽕,우동,까르보나라,0,0,0,0,0,-0.3418423729646252,0,0,1
2022-02-07,0,감자탕,짬뽕,우동,알리오 올리오,86,64,78,46,274,-2.520469430887584,0,0,1
2022-02-08,1,설렁탕,짜장면,미소라멘,치킨까스,54,51,64,44,213,-2.4734436470737187,0,0,1
2022-02-09,2,돈까스,짜장면,가츠동,오믈라이스,41,45,39,34,159,1.9517783634741035,0,0,1
2022-02-10,3,설렁탕,마파두부덮밥,우동,스테이크,72,51,76,77,276,2.2297625136103267,0,0,1
2022-02-11,4,부대찌개,고추잡채덮밥,규동,오믈라이스,68,42,61,52,223,1.629462804915585,0,0,1
2022-02-12,5,불고기,짜장면,미소라멘,치킨까스,0,0,0,0,0,-1.9965291218660828,0,0,1
2022-02-13,6,설렁탕,마파두부덮밥,미소라멘,까르보나라,0,0,0,0,0,0.6964839692001593,0,0,1
2022-02-14,0,불고기,마파두부덮밥,규동,치킨까스,60,43,59,57,219,0.3500574274221846,0,0,1
2022-02-15,1,불고기,마파두부덮밥,규동,오믈라이스,85,61,85,72,303,0.6560657901870388,0,0,1
2022-02-16,2,제육볶음,고추잡채덮밥,냉모밀,스테이크,70,46,36,72,224,2.6142863338445697,0,0,1
2022-02-17,3,불고기,짬뽕,가츠동,스테이크,88,88,85,96,357,0.6707866463240468,0,0,1
2022-02-18,4,불고기,짬뽕,가츠동,까르보나라,76,76,72,66,290,2.0367406892156845,0,0,1
2022-02-19,5,감자탕,마파두부덮밥,미소라멘,오믈라이스,0,0,0,0,0,0.2027372084666743,0,0,1
2022-02-20,6,제육볶음,짬뽕,가츠동,스테이크,0,0,0,0,0,0.8673581960699525,0,0,1
2022-02-21,0,감자탕,볶음밥,냉모밀,오믈라이스,74,60,34,54,222,1.8938646775156207,0,0,1
2022-02-22,1,설렁탕,짬뽕,가츠동,스테이크,51,44,42,47,184,-4.371467459567,0,0,1
2022-02-23,2,순대국밥,고추잡채덮밥,라멘,까르보나라,92,51,109,66,318,-0.959013649071904,0,0,1
2022-02-24,3,김치찌개,마파두부덮밥,미소라멘,알리오 올리오,107,62,121,62,352,-1.4111179628783863,0,0,1
2022-02-25,4,제육볶음,짬뽕,미소라멘,스테이크,28,27,37,29,121,-1.9166335447300256,0,0,1
2022-02-26,5,감자탕,짬뽕,규동,까르보나라,0,0,0,0,0,-0.8254267536800513,0,0,1
2022-02-27,6,감자탕,짜장면,규동,까르보나라,0,0,0,0,0,4.484823933703188,0,0,1
2022-02-28,0,제육볶음,고추잡채덮밥,냉모밀,치킨까스,101,66,52,93,312,-2.597493347079729,0,0,1
2022-03-01,1,돈까스,고추잡채덮밥,규동,알리오 올리오,303,206,303,218,1030,14.904835063774442,0,0,0
2022-03-02,2,돈까스,짬뽕,가츠동,치킨까스,196,195,188,188,767,6.951390685152585,0,0,0
2022-03-03,3,순대국밥,짬뽕,우동,까르보나라,247,281,247,247,1022,10.995344910042675,0,0,0
2022-03-04,4,순대국밥,고추잡채덮밥,가츠동,까르보나라,198,153,216,198,765,12.488259195315017,0,0,0
2022-03-05,5,부대찌개,고추잡채덮밥,라멘,알리오 올리오,0,0,0,0,0,13.758666994077837,0,0,0
2022-03-06,6,불고기,마파두부덮밥,라멘,오믈라이스,0,0,0,0,0,14.133679739378564,0,0,0
2022-03-07,0,제육볶음,마파두부덮밥,가츠동,스테이크,250,173,231,259,913,14.380041705599776,0,0,0
2022-03-08,1,제육볶음,짬뽕,미소라멘,까르보나라,287,276,276,243,1082,10.953824783254689,0,0,0
2022-03-09,2,김치찌개,마파두부덮밥,우동,오믈라이스,281,230,281,268,1060,10.6129446220063,0,0,0
2022-03-10,3,불고기,고추잡채덮밥,가츠동,까르보나라,281,191,270,248,990,14.573927643771462,0,0,0
2022-03-11,4,김치찌개,짬뽕,냉모밀,까르보나라,183,208,159,183,733,11.426087025355155,0,0,0
2022-03-12,5,김치찌개,짜장면,라멘,오믈라이스,0,0,0,0,0,8.172941029986234,0,0,0
2022-03-13,6,순대국밥,짬뽕,라멘,알리오 올리오,0,0,0,0,0,8.600138357989557,0,0,0
2022-03-14,0,감자탕,짬뽕,미소라멘,알리오 올리오,254,220,264,158,896,9.241643141995166,0,0,0
2022-03-15,1,감자탕,볶음밥,라멘,까르보나라,240,230,261,220,951,13.491482232161292,0,0,0
2022-03-16,2,김치찌개,짜장면,라멘,알리오 올리오,287,365,339,235,1226,12.427277208211695,0,0,0
2022-03-17,3,부대찌개,고추잡채덮밥,냉모밀,치킨까스,274,203,227,286,990,14.071456062203303,0,0,0
2022-03-18,4,제육볶음,고추잡채덮밥,가츠동,오믈라이스,285,186,263,230,964,10.718242060990397,0,0,0
2022-03-19,5,제육볶음,짬뽕,냉모밀,치킨까스,0,0,0,0,0,12.475619073230142,0,0,0
2022-03-20,6,불고기,마파두부덮밥,우동,알리오 올리오,0,0,0,0,0,13.87677118190201,0,0,0
2022-03-21,0,부대찌개,짬뽕,규동,스테이크,196,213,213,231,853,11.071960380839284,0,0,0
2022-03-22,1,제육볶음,마파두부덮밥,규동,스테이크,232,161,224,241,858,13.370325712672232,0,0,0
2022-03-23,2,설렁탕,볶음밥,규동,까르보나라,246,269,293,257,1065,10.014222176800049,0,0,0
2022-03-24,3,부대찌개,고추잡채덮밥,라멘,치킨까스,272,201,307,284,1064,10.910838460304785,0,0,0
2022-03-25,4,설렁탕,짬뽕,가츠동,치킨까스,158,188,180,180,706,10.854786318005011,0,0,0
2022-03-26,5,순대국밥,짬뽕,라멘,스테이크,0,0,0,0,0,8.412481063232882,0,0,0
2022-03-27,6,설렁탕,짬뽕,냉모밀,까르보나라,0,0,0,0,0,13.460917442356743,0,0,0
2022-03-28,0,돈까스,고추잡채덮밥,가츠동,오믈라이스,237,161,228,199,825,10.591792979391828,0,0,0
2022-03-29,1,설렁탕,마파두부덮밥,규동,오믈라이스,279,240,333,279,1131,12.037482356183062,0,0,0
2022-03-30,2,부대찌개,볶음밥,가츠동,까르보나라,239,238,249,228,954,13.442239976717726,0,0,0
2022-03-31,3,돈까스,짜장면,가츠동,까르보나라,318,356,305,280,1259,13.339593528089832,0,0,0
2022-04-01,4,감자탕,고추잡채덮밥,미소라멘,스테이크,171,121,178,192,662,13.99615532691836,0,0,0
2022-04-02,5,제육볶음,볶음밥,라멘,스테이크,0,0,0,0,0,11.70454354647173,0,0,0
2022-04-03,6,부대찌개,볶음밥,우동,까르보나라,0,0,0,0,0,10.73010506386754,0,0,0
2022-04-04,0,제육볶음,고추잡채덮밥,냉모밀,치킨까스,232,152,170,215,769,11.760845367280805,0,0,0
2022-04-05,1,제육볶음,고추잡채덮밥,우동,알리오 올리오,308,202,313,213,1036,6.937996698125911,0,0,0
2022-04-06,2,돈까스,볶음밥,미소라멘,까르보나라,195,179,234,171,779,7.658662582730738,0,0,0
2022-04-07,3,제육볶음,짜장면,라멘,치킨까스,242,260,290,223,1015,8.031901162936792,0,0,0
2022-04-08,4,감자탕,마파두부덮밥,라멘,치킨까스,155,97,168,130,550,9.008259517195556,0,0,0
2022-04-09,5,돈까스,마파두부덮밥,미소라멘,치킨까스,0,0,0,0,0,13.19932268017031,0,0,0
2022-04-10,6,김치찌개,짬뽕,규동,스테이크,0,0,0,0,0,9.283562833919817,0,0,0
2022-04-11,0,설렁탕,볶음밥,라멘,까르보나라,183,201,227,192,803,10.865512337881832,0,0,0
2022-04-12,1,설렁탕,짜장면,가츠동,치킨까스,160,213,182,182,737,15.897684893358196,0,0,0
2022-04-13,2,제육볶음,마파두부덮밥,냉모밀,스테이크,254,176,186,264,880,10.931208086815722,0,0,0
2022-04-14,3,불고기,짬뽕,라멘,까르보나라,227,227,236,199,889,14.21254670540126,0,0,0
2022-04-15,4,부대찌개,고추잡채덮밥,규동,오믈라이스,230,142,208,175,755,9.199146959970369,1,0,0
2022-04-16,5,돈까스,볶음밥,규동,까르보나라,0,0,0,0,0,11.38368732639711,1,0,0
2022-04-17,6,부대찌개,마파두부덮밥,우동,오믈라이스,0,0,0,0,0,9.149933835268255,1,0,0
2022-04-18,0,부대찌개,짬뽕,우동,오믈라이스,229,249,219,209,906,10.982900772298311,1,0,0
2022-04-19,1,순대국밥,마파두부덮밥,규동,알리오 올리오,249,204,283,203,939,14.520924412372189,1,0,0
2022-04-20,2,부대찌개,고추잡채덮밥,우동,알리오 올리오,318,196,304,208,1026,6.818038730422954,1,0,0
2022-04-21,3,부대찌개,짬뽕,라멘,치킨까스,247,269,279,258,1053,13.303270930637572,1,0,0
2022-04-22,4,불고기,짬뽕,냉모밀,치킨까스,176,176,134,169,655,12.713206806996832,0,0,0
2022-04-23,5,김치찌개,마파두부덮밥,냉모밀,알리오 올리오,0,0,0,0,0,10.217550132909617,0,0,0
2022-04-24,6,돈까스,짬뽕,규동,오믈라이스,0,0,0,0,0,7.6618264368346365,0,0,0
2022-04-25,0,제육볶음,볶음밥,가츠동,치킨까스,224,198,207,206,835,12.216388523141609,0,0,0
2022-04-26,1,김치찌개,볶음밥,우동,까르보나라,225,236,225,225,911,10.411521872808592,0,0,0
2022-04-27,2,김치찌개,짬뽕,미소라멘,스테이크,182,206,206,223,817,12.698028634064112,0,0,0
2022-04-28,3,감자탕,마파두부덮밥,냉모밀,치킨까스,273,204,216,273,966,12.06555643657033,0,0,0
2022-04-29,4,제육볶음,고추잡채덮밥,냉모밀,치킨까스,174,114,128,161,577,16.805336673962746,0,0,0
2022-04-30,5,돈까스,짬뽕,규동,스테이크,0,0,0,0,0,11.281933117580929,0,0,0
2022-05-01,6,돈까스,짬뽕,우동,스테이크,0,0,0,0,0,8.929507522134404,0,0,0
2022-05-02,0,돈까스,볶음밥,우동,스테이크,216,199,190,234,839,12.537826904868949,0,0,0
2022-05-03,1,제육볶음,짜장면,미소라멘,까르보나라,252,272,243,213,980,12.659990051915296,0,0,0
2022-05-04,2,설렁탕,볶음밥,라멘,스테이크,205,225,254,264,948,16.077562725721307,0,0,0
2022-05-05,3,설렁탕,마파두부덮밥,규동,스테이크,226,194,269,290,979,14.505333737743737,0,0,0
2022-05-06,4,감자탕,마파두부덮밥,라멘,치킨까스,183,137,198,182,700,13.070613177448529,0,0,0
2022-05-07,5,돈까스,짬뽕,우동,까르보나라,0,0,0,0,0,16.389908673658685,0,0,0
2022-05-08,6,불고기,볶음밥,냉모밀,알리오 올리오,0,0,0,0,0,8.433710837031448,0,0,0
2022-05-09,0,감자탕,짬뽕,냉모밀,치킨까스,174,181,137,173,665,10.080745401750756,0,0,0
2022-05-10,1,설렁탕,짬뽕,우동,스테이크,246,244,258,264,1012,9.220272175783425,0,0,0
2022-05-11,2,김치찌개,고추잡채덮밥,라멘,스테이크,242,187,286,297,1012,10.830570590532696,0,0,0
2022-05-12,3,감자탕,고추잡채덮밥,가츠동,까르보나라,227,134,189,174,724,7.869941557331074,0,0,0
2022-05-13,4,감자탕,마파두부덮밥,가츠동,까르보나라,198,149,198,182,727,13.905452840443212,0,0,0
2022-05-14,5,순대국밥,볶음밥,미소라멘,까르보나라,0,0,0,0,0,11.33333190870368,0,0,0
2022-05-15,6,불고기,짜장면,냉모밀,오믈라이스,0,0,0,0,0,7.587581116492027,0,0,0
2022-05-16,0,불고기,볶음밥,규동,스테이크,172,158,171,185,686,8.953262756377375,0,0,0
2022-05-17,1,감자탕,마파두부덮밥,라멘,오믈라이스,216,162,235,189,802,12.940541542350584,0,0,0
2022-05-18,2,감자탕,짜장면,가츠동,알리오 올리오,241,281,241,180,943,14.514379703683144,0,0,0
2022-05-19,3,감자탕,짜장면,냉모밀,까르보나라,205,239,163,188,795,17.99019267507536,0,0,0
2022-05-20,4,불고기,마파두부덮밥,가츠동,알리오 올리오,191,138,183,138,650,20.741587398021988,0,0,0
2022-05-21,5,순대국밥,짜장면,규동,알리오 올리오,0,0,0,0,0,13.243228299827988,0,0,0
2022-05-22,6,돈까스,고추잡채덮밥,라멘,치킨까스,0,0,0,0,0,9.031385639904409,0,0,0
2022-05-23,0,감자탕,짜장면,미소라멘,까르보나라,233,227,243,178,881,5.603861157806072,0,0,0
2022-05-24,1,설렁탕,고추잡채덮밥,가츠동,알리오 올리오,210,170,241,180,801,12.803134387031507,0,0,0
2022-05-25,2,설렁탕,볶음밥,미소라멘,오믈라이스,276,252,328,230,1086,9.561176714069022,0,1,0
2022-05-26,3,불고기,고추잡채덮밥,규동,오믈라이스,264,179,264,221,928,10.753928219460944,0,1,0
2022-05-27,4,김치찌개,짬뽕,우동,치킨까스,199,226,198,217,840,10.163709602820576,0,1,0
2022-05-28,5,감자탕,고추잡채덮밥,규동,오믈라이스,0,0,0,0,0,11.577627340750844,0,0,0
2022-05-29,6,설렁탕,짬뽕,가츠동,알리오 올리오,0,0,0,0,0,15.19794069236293,0,0,0
2022-05-30,0,감자탕,고추잡채덮밥,라멘,알리오 올리오,212,151,230,159,752,12.471145702336036,0,0,0
2022-05-31,1,제육볶음,고추잡채덮밥,미소라멘,알리오 올리오,272,178,262,188,900,11.524095488883937,0,0,0
2022-06-01,2,설렁탕,고추잡채덮밥,냉모밀,오믈라이스,179,145,161,178,663,21.893038741522567,0,0,0
2022-06-02,3,순대국밥,고추잡채덮밥,규동,오믈라이스,180,139,204,171,694,19.97595116588693,0,0,0
2022-06-03,4,설렁탕,볶음밥,가츠동,알리오 올리오,118,136,141,106,501,23.541076272780007,0,0,0
2022-06-04,5,부대찌개,고추잡채덮밥,가츠동,스테이크,0,0,0,0,0,24.83865234754504,0,0,0
2022-06-05,6,부대찌개,짜장면,가츠동,스테이크,0,0,0,0,0,30.30378974073965,0,0,0
2022-06-06,0,감자탕,짬뽕,라멘,스테이크,131,144,142,156,573,25.390823564418657,0,0,0
2022-06-07,1,감자탕,볶음밥,가츠동,오믈라이스,172,174,181,159,686,27.948218533069173,0,0,0
2022-06-08,2,부대찌개,짬뽕,가츠동,까르보나라,174,199,191,175,739,23.502113204382542,0,0,0
2022-06-09,3,김치찌개,짬뽕,라멘,치킨까스,127,144,150,139,560,21.445168700748926,0,0,0
2022-06-10,4,제육볶음,짬뽕,냉모밀,치킨까스,178,171,156,165,670,22.104649713302884,1,0,0
2022-06-11,5,설렁탕,볶음밥,우동,오믈라이스,0,0,0,0,0,22.82432180639274,1,0,0
2022-06-12,6,제육볶음,고추잡채덮밥,냉모밀,알리오 올리오,0,0,0,0,0,31.38540919730549,1,0,0
2022-06-13,0,불고기,고추잡채덮밥,냉모밀,오믈라이스,215,147,197,181,740,22.53583996232684,1,0,0
2022-06-14,1,부대찌개,마파두부덮밥,냉모밀,알리오 올리오,225,185,235,185,830,27.515467611209036,1,0,0
2022-06-15,2,돈까스,볶음밥,미소라멘,스테이크,191,176,182,207,756,22.29121846573892,1,0,0
2022-06-16,3,불고기,짜장면,규동,치킨까스,179,200,179,171,729,27.79471903862273,1,0,0
2022-06-17,4,제육볶음,볶음밥,규동,알리오 올리오,178,157,171,123,629,26.15485289831759,0,0,0
2022-06-18,5,불고기,짜장면,우동,알리오 올리오,0,0,0,0,0,24.53008630702573,0,0,0
2022-06-19,6,제육볶음,짜장면,미소라멘,치킨까스,0,0,0,0,0,24.8777124215937,0,0,0
2022-06-20,0,돈까스,마파두부덮밥,냉모밀,오믈라이스,196,141,179,164,680,23.03563691371183,0,0,0
2022-06-21,1,설렁탕,마파두부덮밥,규동,치킨까스,68,61,85,82,296,26.33821660444624,0,0,1
2022-06-22,2,김치찌개,마파두부덮밥,냉모밀,오믈라이스,84,73,92,85,334,23.63504955897766,0,0,1
2022-06-23,3,돈까스,마파두부덮밥,가츠동,스테이크,72,52,69,78,271,21.32318270869825,0,0,1
2022-06-24,4,불고기,짜장면,라멘,오믈라이스,68,76,71,57,272,21.166187277041143,0,0,1
2022-06-25,5,설렁탕,고추잡채덮밥,라멘,스테이크,0,0,0,0,0,25.51776375316636,0,0,1
2022-06-26,6,부대찌개,짬뽕,미소라멘,오믈라이스,0,0,0,0,0,29.737273769231304,0,0,1
2022-06-27,0,부대찌개,고추잡채덮밥,라멘,치킨까스,76,60,86,84,306,25.479974840720317,0,0,1
2022-06-28,1,제육볶음,마파두부덮밥,규동,치킨까스,61,42,58,56,217,24.644085021670357,0,0,1
2022-06-29,2,제육볶음,마파두부덮밥,라멘,오믈라이스,96,66,91,77,330,25.857478418807627,0,0,1
2022-06-30,3,감자탕,볶음밥,미소라멘,스테이크,66,90,68,105,329,28.918005225120478,0,0,1
2022-07-01,4,설렁탕,고추잡채덮밥,라멘,스테이크,85,72,105,115,377,25.65814750409157,0,0,1
2022-07-02,5,돈까스,마파두부덮밥,가츠동,까르보나라,0,0,0,0,0,23.767218307498787,0,0,1
2022-07-03,6,김치찌개,고추잡채덮밥,우동,알리오 올리오,0,0,0,0,0,28.318866130179668,0,0,1
2022-07-04,0,감자탕,짜장면,규동,치킨까스,83,102,91,87,363,26.28626931538484,0,0,1
2022-07-05,1,순대국밥,짜장면,라멘,까르보나라,49,90,58,70,267,29.607267975987977,0,0,1
2022-07-06,2,제육볶음,마파두부덮밥,미소라멘,오믈라이스,87,60,80,71,298,25.54970331166572,0,0,1
2022-07-07,3,돈까스,짜장면,우동,오믈라이스,73,81,64,61,279,21.3265929048385,0,0,1
2022-07-08,4,순대국밥,짜장면,라멘,오믈라이스,51,66,61,49,227,20.895522402263005,0,0,1
2022-07-09,5,돈까스,짬뽕,라멘,오믈라이스,0,0,0,0,0,29.952783796693748,0,0,1
2022-07-10,6,부대찌개,짬뽕,가츠동,스테이크,0,0,0,0,0,30.17099716234989,0,0,1
2022-07-11,0,불고기,짬뽕,가츠동,까르보나라,76,76,73,66,291,24.4614423601522,0,0,1
2022-07-12,1,부대찌개,마파두부덮밥,규동,치킨까스,89,73,102,97,361,23.85043803659204,0,0,1
2022-07-13,2,돈까스,짬뽕,규동,까르보나라,67,66,66,59,258,29.384332876726607,0,0,1
2022-07-14,3,설렁탕,마파두부덮밥,라멘,알리오 올리오,79,68,98,67,312,21.678862953869537,0,0,1
2022-07-15,4,제육볶음,고추잡채덮밥,우동,알리오 올리오,89,58,71,61,279,22.31581894313252,0,0,1
2022-07-16,5,제육볶음,마파두부덮밥,라멘,스테이크,0,0,0,0,0,26.92998038406713,0,0,1
2022-07-17,6,김치찌개,고추잡채덮밥,규동,스테이크,0,0,0,0,0,23.81618463142123,0,0,1
2022-07-18,0,불고기,짜장면,우동,까르보나라,60,68,50,53,231,24.984634399839788,0,0,1
2022-07-19,1,순대국밥,고추잡채덮밥,미소라멘,알리오 올리오,71,57,80,61,269,24.509671304426465,0,0,1
2022-07-20,2,순대국밥,짬뽕,냉모밀,치킨까스,57,68,62,65,252,26.0127236463968,0,0,1
2022-07-21,3,설렁탕,볶음밥,라멘,오믈라이스,60,94,74,85,313,29.222445583941152,0,0,1
2022-07-22,4,순대국밥,볶음밥,규동,알리오 올리오,63,70,76,54,263,25.27175472070524,0,0,1
2022-07-23,5,순대국밥,마파두부덮밥,냉모밀,치킨까스,0,0,0,0,0,26.93181637983057,0,0,1
2022-07-24,6,설렁탕,볶음밥,규동,치킨까스,0,0,0,0,0,18.849483696906933,0,0,1
2022-07-25,0,부대찌개,볶음밥,규동,스테이크,62,65,71,76,274,24.85384479420965,0,0,1
2022-07-26,1,감자탕,볶음밥,미소라멘,치킨까스,105,106,110,111,432,22.470309189121387,0,0,1
2022-07-27,2,돈까스,짬뽕,우동,알리오 올리오,101,101,89,73,364,21.34356081872912,0,0,1
2022-07-28,3,김치찌개,마파두부덮밥,미소라멘,알리오 올리오,72,62,81,62,277,22.365542899213747,0,0,1
2022-07-29,4,돈까스,볶음밥,미소라멘,스테이크,56,52,54,61,223,23.997629677897564,0,0,1
2022-07-30,5,부대찌개,볶음밥,가츠동,오믈라이스,0,0,0,0,0,27.74770762706804,0,0,1
2022-07-31,6,돈까스,짜장면,라멘,치킨까스,0,0,0,0,0,21.02082184678131,0,0,1
2022-08-01,0,부대찌개,짜장면,라멘,치킨까스,51,66,58,56,231,25.091894477783253,0,0,1
2022-08-02,1,제육볶음,짜장면,미소라멘,치킨까스,91,98,83,84,356,23.547491699999263,0,0,1
2022-08-03,2,제육볶음,고추잡채덮밥,라멘,스테이크,81,53,77,85,296,24.01698071691412,0,0,1
2022-08-04,3,부대찌개,마파두부덮밥,가츠동,스테이크,42,48,63,71,224,28.00827347591381,0,0,1
2022-08-05,4,제육볶음,볶음밥,라멘,까르보나라,70,61,66,59,256,26.61434631101178,0,0,1
2022-08-06,5,김치찌개,짜장면,우동,스테이크,0,0,0,0,0,29.01219432232823,0,0,1
2022-08-07,6,부대찌개,볶음밥,우동,알리오 올리오,0,0,0,0,0,24.5364829622503,0,0,1
2022-08-08,0,돈까스,짜장면,미소라멘,알리오 올리오,89,100,84,64,337,22.91217216498789,0,0,1
2022-08-09,1,부대찌개,짬뽕,가츠동,오믈라이스,61,70,67,58,256,24.3284235493585,0,0,1
2022-08-10,2,설렁탕,볶음밥,가츠동,스테이크,50,57,60,68,235,25.727490373813666,0,0,1
2022-08-11,3,순대국밥,짬뽕,라멘,까르보나라,72,87,85,76,320,25.529720075361134,0,0,1
2022-08-12,4,감자탕,짜장면,규동,까르보나라,64,75,66,59,264,21.7468357832999,0,0,1
2022-08-13,5,감자탕,고추잡채덮밥,라멘,스테이크,0,0,0,0,0,25.271469344883624,0,0,1
2022-08-14,6,돈까스,고추잡채덮밥,라멘,알리오 올리오,0,0,0,0,0,25.68468499041672,0,0,1
2022-08-15,0,순대국밥,짬뽕,냉모밀,오믈라이스,44,71,75,60,250,32.55242211260176,0,0,1
2022-08-16,1,김치찌개,짬뽕,냉모밀,스테이크,52,84,89,91,316,30.63053383384501,0,0,1
2022-08-17,2,감자탕,짬뽕,미소라멘,오믈라이스,59,65,62,54,240,22.44026994832354,0,0,1
2022-08-18,3,설렁탕,짬뽕,가츠동,까르보나라,41,52,50,46,189,24.137849915352472,0,0,1
2022-08-19,4,불고기,짬뽕,우동,치킨까스,60,60,53,57,230,20.60967399448899,0,0,1
2022-08-20,5,제육볶음,짬뽕,가츠동,치킨까스,0,0,0,0,0,23.227878958109542,0,0,1
2022-08-21,6,부대찌개,볶음밥,규동,알리오 올리오,0,0,0,0,0,25.946815010771022,0,0,1
2022-08-22,0,부대찌개,짜장면,우동,치킨까스,54,94,51,80,279,28.6175608626647,0,0,1
2022-08-23,1,감자탕,마파두부덮밥,우동,치킨까스,92,73,85,97,347,22.812748486769173,0,0,1
2022-08-24,2,김치찌개,볶음밥,규동,스테이크,89,98,106,114,407,23.03756067979661,0,0,1
2022-08-25,3,제육볶음,볶음밥,규동,까르보나라,86,76,82,72,316,18.558132910784035,0,0,1
2022-08-26,4,감자탕,고추잡채덮밥,냉모밀,까르보나라,46,34,45,44,169,24.51200223836528,0,0,1
2022-08-27,5,감자탕,마파두부덮밥,미소라멘,알리오 올리오,0,0,0,0,0,21.81275676442131,0,0,1
2022-08-28,6,제육볶음,볶음밥,우동,오믈라이스,0,0,0,0,0,23.41168171790178,0,0,1
2022-08-29,0,순대국밥,고추잡채덮밥,라멘,치킨까스,94,76,111,107,388,22.369417665497235,0,0,1
2022-08-30,1,돈까스,짬뽕,우동,까르보나라,63,63,53,56,235,24.71721233724233,0,0,1
2022-08-31,2,설렁탕,짜장면,라멘,알리오 올리오,58,77,72,50,257,19.726814825930106,0,0,1
